Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC,wRC_per_PA,wRC_plus,wRC_plus_scaled
41,1310334464,C. Campbell,Cade Campbell,Campbell,Cade,3B,University of California,CAL,730152448,California,BBC,R,R,0.366,7.9,51,811,215,198,0.313,0.35,0.505,0.856,0.192,23.3%,5.1%,4.55,3.7%,0.67,24.75,0.378,59.4%,0.366,66.7%,35.044999999999995,0.16299999999999998,15.012232683149485,82.40255195769525
42,1330527744,B. Watson,Ben Watson,Watson,Ben,LF,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,0.39,13.5,54,870,241,208,0.313,0.398,0.5,0.898,0.188,8.7%,10.4%,0.84,3.3%,0.72,26.00,0.315,67.4%,0.39,75.0%,44.103,0.183,16.939473829535665,103.70094875132642
43,1533930152,C. Daniel,Caleb Daniel,Daniel,Caleb,LF,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,0.391,13.5,55,993,237,205,0.312,0.397,0.507,0.904,0.195,19.4%,10.1%,1.92,3.0%,0.93,29.29,0.37,61.7%,0.391,100.0%,43.5685,0.18383333333333332,17.03401661014389,102.4441599363346
44,1310896128,S. Tackett,Sam Tackett,Tackett,Sam,RF,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,0.424,19.7,56,969,236,193,0.311,0.426,0.58,1.006,0.269,25.8%,15.3%,1.69,5.9%,0.77,13.79,0.383,60.0%,0.424,85.7%,49.87466666666666,0.21133333333333332,19.685271705616962,117.27207337345504
45,1204948480,J. Van De Brake,Jackson Van De Brake,Van De Brake,Jackson,2B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,0.398,17.8,61,1211,284,232,0.31,0.415,0.509,0.924,0.198,17.3%,14.4%,1.2,2.8%,0.93,29.00,0.356,62.8%,0.398,100.0%,53.86533333333334,0.18966666666666668,17.60541971230114,126.6554695025988
45,1342167966,M. Galvin,Max Galvin,Galvin,Max,LF,University of Miami,MIA,236,Miami,BBC,L,L,0.372,10.7,60,915,255,232,0.31,0.369,0.491,0.86,0.181,10.6%,7.5%,1.42,3.1%,0.87,29.00,0.323,65.7%,0.372,90.0%,42.839999999999996,0.16799999999999998,15.533892509870869,100.73121203788457
47,1260772353,Z. Rose,Zion Rose,Rose,Zion,LF,University of Louisville,LOU,5467,Louisville,BBC,R,R,0.401,19.5,66,1085,301,252,0.31,0.396,0.552,0.948,0.242,12.0%,10.3%,1.16,4.3%,0.98,19.38,0.311,65.6%,0.401,91.2%,57.84216666666667,0.19216666666666668,17.816219394112938,136.00633882424512
48,1207766272,H. Godbout,Henry Godbout,Godbout,Henry,2B,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.388,12.2,50,858,226,191,0.309,0.397,0.497,0.895,0.188,8.4%,11.5%,0.73,3.5%,0.7,23.88,0.305,69.5%,0.388,66.7%,40.98133333333333,0.18133333333333332,16.736044166993896,96.36086315581764
49,1208727296,D. Listi,Dom Listi,Listi,Dom,LF,Clemson University,CLEM,730358784,Clemson,BBC,L,L,0.437,27.4,61,1249,292,204,0.309,0.507,0.466,0.973,0.157,16.4%,18.8%,0.87,1.7%,1.02,40.80,0.377,62.3%,0.437,92.9%,64.87266666666666,0.22216666666666665,20.721375722333935,152.53740292864163
50,1310330368,C. Kerce,Carson Kerce,Kerce,Carson,3B,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.38,11.7,60,951,244,198,0.308,0.407,0.465,0.871,0.157,15.2%,13.1%,1.16,1.6%,0.8,49.50,0.35,62.6%,0.38,66.7%,42.61866666666667,0.1746666666666667,16.132896045711437,100.21078311792539
51,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,0.406,17.3,58,868,251,218,0.307,0.388,0.564,0.952,0.257,18.3%,11.2%,1.64,6.4%,0.88,13.63,0.323,62.7%,0.406,61.5%,49.279666666666664,0.19633333333333333,18.230244357382784,115.87302876181775
52,1245930752,A. Alicea,Alex Alicea,Alicea,Alex,SS,University of Louisville,LOU,5467,Louisville,BBC,S,R,0.385,13.6,61,920,261,202,0.307,0.444,0.401,0.845,0.094,11.9%,14.9%,0.79,0.4%,0.82,202.00,0.359,63.5%,0.385,85.0%,46.67549999999999,0.17883333333333332,16.54854204784698,109.74975927811114
53,1083611136,W. Clark,Wallace Clark,Clark,Wallace,SS,Duke University,DUKE,730336256,Duke,BBC,S,R,0.434,27.4,60,1165,302,225,0.307,0.478,0.507,0.985,0.2,11.3%,18.2%,0.62,3.0%,1.08,25.00,0.33,64.8%,0.434,100.0%,66.33933333333333,0.21966666666666665,20.410661760617526,155.9860283018652
54,1100739840,B. Reynolds,Brady Reynolds,Reynolds,Brady,RF,Stanford University,STAN,730251264,Stanford,BBC,L,R,0.404,12.4,45,732,184,157,0.306,0.402,0.541,0.944,0.236,27.7%,10.3%,2.68,4.3%,0.82,19.63,0.404,59.6%,0.404,40.0%,35.81866666666667,0.1946666666666667,18.076944513280928,84.2217018420707
55,1132720128,C. Fisher,Cal Fisher,Fisher,Cal,3B,Florida State University,FSU,101,Florida State,BBC,R,R,0.394,13.4,53,887,225,188,0.303,0.411,0.489,0.9,0.186,24.9%,11.6%,2.15,3.6%,0.6,23.50,0.392,56.0%,0.394,100.0%,41.925,0.18633333333333332,17.293369634053875,98.57974007208942
